"DisplayName","NumCom","NumPosts","NumBadges"
Andrew,0,3,6
Mike J,12,40,10
fhe,28,49,24
PaulB,0,2,1
MattW.,11,89,34
Jan B. Kjeldsen,64,51,14
lilserf,2,5,5
Lloyd,38,30,10
G8RDA,0,2,4
Shane K,6,6,9
Timothy Carter,40,157,44
Tomas Pajonk,68,78,24
Adam Cuzzort,2,10,10
Ross Goddard,9,29,20
Don Kirkby,165,262,47
Mike L,7,19,13
Bittercoder,67,71,28
Rob Sloot,0,2,2
pawel,23,50,6
MontyGomery,0,1,4
Tony,2,5,8
maccullt,16,28,11
Nick Stinemates,72,64,44
Omer van Kloeten,42,73,33
Peter Baer,4,4,6
nandras,0,3,7
Daniel Wright,66,75,17
Michiel Overeem,16,26,17
jason,0,4,17
Julien Nephtali,6,11,12
Brian Kelly,0,7,7
Andy Jones,4,41,9
baralong,6,6,5
HeMan,1,8,2
Raoul,7,7,18
Knut Eldhuset,13,6,18
simpleblob,1,4,11
Registered User,0,1,2
ChuckB,1,8,9
alastairs,90,76,30
Paul Hargreaves,22,17,26
Dominic Dos Santos,3,7,12
Bork Blatt,28,88,10
reedstrm,5,5,3
CMS,1227,2094,394
Gürkan Yeniçeri,0,3,5
Peter,13,31,11
user5545,0,1,1
Zac,0,0,2
Josef,15,65,22
Zac,2,6,8
cfeduke,205,213,42
John Calsbeek,75,160,34
Shane Bauer,4,4,5
Brannon,75,137,27
Matt Pfefferle,3,9,7
ottobar,5,16,10
sztanpet,1,3,7
darius,9,15,19
user5915,4,3,7
Nick Randell,25,51,34
Lucas,2,4,7
Phil Ross,84,155,15
frglps,0,12,4
wb2nd,0,5,3
bobi,0,1,2
Rogez Sanchez,0,4,6
psycotica0,2,1,7
user46893,0,2,1
Gwilym,0,1,2
Peter Kellner,0,5,3
nanoman,2,10,3
user47008,0,3,3
Harvey,73,37,13
kay.herzam,39,43,22
user47129,0,1,1
Doug Diehnelt,0,1,3
Miro Solanka,15,7,13
Matt McCormick,66,84,20
Stuart Hallows,1,8,7
Tyler,0,1,2
NSK,0,4,8
user47378,0,2,4
user47393,0,3,1
ewalshe,14,27,16
Ricket,346,197,38
Yuliy,167,236,19
chaos,871,1122,214
Gene Roberts,11,18,22
Mike Hofer,191,171,40
Evan Moran,2,9,6
John Haney,0,4,2
user47678,0,5,3
Artem Russakovskii,252,143,49
Magus,0,2,1
bhdnx,0,1,0
Simes,4,10,6
Bobby,0,3,5
huitseeker,5,25,12
magcius,2,5,4
Abhijeet,0,2,3
Dave,5,9,7
moberley,2,5,5
Anton Kolesov,0,9,3
Xesaniel,0,4,15
ninj,3,19,3
ericp,24,22,11
Anthony,4,17,6
Jader Dias,924,629,143
Helios,7,7,9
IddoG,0,2,10
user48616,0,1,4
Thomas Morgner,0,7,1
user48716,0,1,3
ansate,2,5,3
Mash See,0,1,1
user48780,0,1,1
Mike A,23,15,11
Conchi Bueno,0,1,2
Ahmed Mozaly,2,12,11
HowardvanRooijen,0,8,5
greg,1,5,1
Hippiehunter,10,15,9
amo,0,1,1
Lito,5,2,6
MrBurns,0,3,7
dks1983,0,7,4
Nathan Kurz,3,5,2
albatroz,0,1,1
Pieter,7,12,12
Joao Heleno,9,11,5
Matt,0,4,4
robcecil,0,2,5
Jimmy Bergmark - JTB World,0,7,2
user49550,0,6,3
Evan Fosmark,163,156,59
Roberto Russo,7,9,16
Ludwig Wensauer,13,28,21
socste2,0,7,6
Jérôme,50,51,13
PanMan,2,8,5
ascobol,12,16,16
Luke Rinard,1,5,5
Marco,3,5,2
Will Norris,1,3,4
opletayev,0,1,1
Lawrence Teo,1,2,5
Ivan,22,23,14
Brian Kriesel,0,9,6
ravun,30,26,14
Walker,17,17,8
x4tje,7,22,10
moigno,0,4,5
Toni,2,4,5
Chris J,2,8,2
Johnula,0,5,2
Stuart,18,19,11
ffao,0,1,1
JensenDied,7,12,7
Simon,0,3,1
Matt Z,4,5,8
Charles,29,66,15
xandy,241,212,21
Rolle,0,3,5
Niranjan Tulpule,0,4,1
Ada,0,9,6
Benny Hallett,13,25,16
G Mawr,1,5,4
Chris Woods,0,5,3
CookingCoder,0,0,0
Martin,0,4,5
Mark,0,4,7
toastie,15,35,11
SylvanK,7,3,5
madaboutcode,17,27,13
Simon Parker,2,12,6
emrekyv,10,7,7
Jakub,0,4,5
doro,94,29,11
KnownSubset,0,1,2
maozet,0,6,3
mlvljr,153,29,14
emperorcezar,2,7,4
Art Dumas,1,3,8
user110218,0,3,7
Justen,193,91,10
joukokar,0,8,5
Vitor Reis,40,41,8
grosser,7,19,4
user110418,4,5,5
nilesh,0,2,1
Jonathan Sewell,9,17,8
Wodzu,203,80,13
Michael,5,8,6
novon,10,14,8
NerdyNick,6,11,7
Phred Menyhert,4,5,8
jdcaron,0,3,3
chrmue,23,31,9
Zerdush,0,4,4
